Unnamed: 0,uid,user_city,item_id,author_id,item_city,channel,finish,like,music_id,duration_time,real_time,H,date
94,47525,115.0,91367,18810,30.0,0,0,0,403.0,9,2019-10-22 04:21:04,4,2019-10-22
99,37649,89.0,639254,3,22.0,0,1,0,11725.0,9,2019-10-27 09:24:34,9,2019-10-27
102,4340,113.0,5619,26262,84.0,0,1,0,222.0,21,2019-10-25 22:40:03,22,2019-10-25
103,4590,5.0,628216,21492,246.0,0,0,0,347.0,18,2019-10-24 05:31:03,5,2019-10-24
106,2120,121.0,10552,56018,25.0,0,1,0,879.0,21,2019-10-23 22:27:58,22,2019-10-23
107,59007,123.0,5686,5531,4.0,0,1,0,2737.0,7,2019-10-20 04:22:06,4,2019-10-20
117,6162,19.0,3626520,816826,33.0,0,0,0,18448.0,9,2019-10-25 02:50:58,2,2019-10-25
119,38274,46.0,1299109,281808,43.0,0,1,0,1162.0,10,2019-10-19 23:28:47,23,2019-10-19
123,15121,40.0,14325,20356,86.0,0,1,0,1770.0,9,2019-10-27 02:06:58,2,2019-10-27
135,4352,143.0,673524,18871,10.0,0,1,0,6108.0,4,2019-10-29 22:19:29,22,2019-10-29
136,23940,203.0,636249,346807,49.0,0,0,0,284.0,10,2019-10-11 17:53:39,17,2019-10-11
139,26327,169.0,21015,6740,70.0,0,1,0,220.0,6,2019-10-25 21:04:25,21,2019-10-25
141,35706,72.0,161620,36954,33.0,0,1,0,5000.0,10,2019-10-26 12:35:01,12,2019-10-26
143,19644,40.0,1209316,35817,113.0,0,0,0,237.0,6,2019-10-20 20:40:22,20,2019-10-20
144,23590,16.0,1794865,92149,81.0,0,1,0,1220.0,9,2019-10-28 06:48:07,6,2019-10-28
148,32703,54.0,850138,172706,10.0,0,1,0,110.0,6,2019-10-23 00:59:41,0,2019-10-23
152,4711,59.0,636696,37579,138.0,0,0,0,1126.0,42,2019-10-15 02:34:02,2,2019-10-15
158,8335,22.0,3695868,588878,192.0,0,0,0,1588.0,10,2019-10-24 21:05:17,21,2019-10-24
163,3737,92.0,716605,101336,38.0,0,0,0,35.0,10,2019-10-29 09:28:25,9,2019-10-29
166,3797,40.0,436225,118003,122.0,0,1,0,1717.0,10,2019-10-04 19:57:15,19,2019-10-04
167,13359,63.0,56106,319,147.0,0,0,0,164.0,10,2019-10-26 03:45:40,3,2019-10-26
174,495,311.0,968708,74832,68.0,0,0,0,7116.0,10,2019-10-29 21:13:29,21,2019-10-29
177,9023,101.0,20229,40020,185.0,0,0,0,1390.0,8,2019-10-03 05:47:22,5,2019-10-03
178,11659,140.0,746739,67085,39.0,0,0,0,1678.0,10,2019-10-27 00:28:21,0,2019-10-27
182,30957,6.0,1411883,13893,75.0,0,0,0,2150.0,9,2019-10-07 10:23:31,10,2019-10-07
187,43973,12.0,317635,608867,133.0,0,0,0,35.0,10,2019-10-23 05:44:39,5,2019-10-23
190,35800,159.0,1166476,110409,74.0,0,1,0,69.0,9,2019-10-20 21:03:38,21,2019-10-20
193,31329,54.0,1675046,135527,30.0,0,0,0,16227.0,10,2019-10-28 18:03:25,18,2019-10-28
194,2102,25.0,1069839,320,44.0,0,0,0,1684.0,9,2019-10-23 19:02:30,19,2019-10-23
197,23622,181.0,691574,22088,65.0,0,1,0,5605.0,9,2019-10-01 22:30:54,22,2019-10-01
198,32059,31.0,1028683,70292,20.0,0,1,0,73080.0,9,2019-10-29 04:47:01,4,2019-10-29
200,22666,25.0,178429,48705,4.0,0,0,0,25.0,10,2019-10-09 22:34:50,22,2019-10-09
201,844,39.0,1947866,283560,14.0,0,0,0,5162.0,10,2019-10-28 22:42:17,22,2019-10-28
202,49345,38.0,2539766,26472,89.0,0,0,0,2829.0,10,2019-10-04 09:52:31,9,2019-10-04
205,52707,98.0,657538,13975,29.0,0,0,0,220.0,10,2019-10-27 22:08:50,22,2019-10-27
206,132,152.0,9904,10755,68.0,0,1,0,728.0,9,2019-10-25 17:40:55,17,2019-10-25
211,33139,285.0,2992904,188520,133.0,0,0,0,1914.0,9,2019-10-17 08:43:55,8,2019-10-17
212,3675,62.0,14170,19524,28.0,0,1,0,2040.0,20,2019-10-25 01:28:51,1,2019-10-25
216,1871,194.0,133089,7722,76.0,0,0,0,410.0,2,2019-10-22 03:19:44,3,2019-10-22
219,5010,45.0,1469,24064,35.0,0,0,0,7.0,10,2019-10-05 00:08:52,0,2019-10-05
221,44116,109.0,27931,9100,56.0,0,0,0,1204.0,10,2019-10-22 01:16:40,1,2019-10-22
224,18913,163.0,1737814,124371,149.0,0,1,0,5603.0,9,2019-10-24 00:48:52,0,2019-10-24
226,1250,6.0,28656,57736,26.0,0,1,0,164.0,21,2019-10-26 05:40:59,5,2019-10-26
230,30071,109.0,69008,36984,226.0,0,0,0,1480.0,10,2019-10-13 20:24:44,20,2019-10-13
231,200,93.0,669319,230471,84.0,0,0,0,518.0,16,2019-10-30 01:44:15,1,2019-10-30
232,27111,113.0,55764,15310,42.0,0,0,0,459.0,10,2019-10-25 02:22:23,2,2019-10-25
238,31037,317.0,1305601,46482,134.0,0,0,0,35.0,10,2019-10-20 20:11:07,20,2019-10-20
239,12060,125.0,3847998,10145,217.0,0,0,0,21430.0,20,2019-10-18 03:55:53,3,2019-10-18
241,44047,150.0,1209476,224774,35.0,0,0,0,317.0,10,2019-10-21 22:45:53,22,2019-10-21
242,6074,253.0,1995251,61428,10.0,0,1,0,24530.0,9,2019-09-29 08:14:04,8,2019-09-29
246,35779,54.0,481917,2664,6.0,0,0,0,779.0,2,2019-10-23 07:29:41,7,2019-10-23
247,36655,42.0,170178,395,160.0,0,1,0,780.0,2,2019-09-28 22:02:07,22,2019-09-28
250,12429,42.0,38042,32497,284.0,0,0,0,762.0,10,2019-10-21 17:43:56,17,2019-10-21
251,12846,236.0,1659008,33540,30.0,0,0,0,2093.0,10,2019-10-28 11:42:05,11,2019-10-28
254,44778,72.0,1370874,936,112.0,0,0,0,2678.0,9,2019-10-18 22:30:06,22,2019-10-18
257,27528,47.0,101861,149531,122.0,0,1,0,2576.0,10,2019-10-26 19:29:52,19,2019-10-26
258,36084,123.0,93965,77831,22.0,0,0,0,22.0,4,2019-10-22 07:35:41,7,2019-10-22
259,32937,88.0,676848,16635,64.0,0,0,0,19236.0,10,2019-10-27 23:27:37,23,2019-10-27
261,15258,40.0,828474,125605,220.0,0,1,0,1018.0,10,2019-10-11 00:23:42,0,2019-10-11
268,9703,166.0,155047,37252,44.0,0,0,0,1836.0,9,2019-10-17 17:53:55,17,2019-10-17
269,32270,103.0,13319,11506,39.0,0,0,0,1329.0,9,2019-10-20 21:48:22,21,2019-10-20
272,44614,91.0,3629292,161829,10.0,0,1,0,7496.0,4,2019-10-23 20:53:13,20,2019-10-23
278,31097,144.0,354609,15179,48.0,0,0,0,178.0,9,2019-10-06 00:10:17,0,2019-10-06
279,626,175.0,182525,37533,57.0,0,0,0,3404.0,4,2019-10-15 23:46:38,23,2019-10-15
294,2274,82.0,779747,19421,165.0,0,1,0,5.0,10,2019-10-24 16:20:28,16,2019-10-24
295,50834,158.0,30711,10713,17.0,0,0,0,82.0,9,2019-10-02 00:07:16,0,2019-10-02
299,3721,26.0,310,3860,170.0,0,0,0,413.0,7,2019-10-27 03:49:59,3,2019-10-27
303,9969,175.0,1257217,252038,151.0,0,0,0,57.0,10,2019-10-20 18:14:18,18,2019-10-20
304,11528,31.0,654164,29188,1.0,0,0,0,7.0,9,2019-10-29 02:46:04,2,2019-10-29
310,44054,239.0,6300,15077,74.0,0,0,0,22.0,11,2019-10-23 21:19:58,21,2019-10-23
311,23059,223.0,40834,52727,89.0,0,0,0,11680.0,7,2019-10-01 20:20:13,20,2019-10-01
313,5677,12.0,36004,42034,43.0,0,0,0,518.0,42,2019-10-12 10:14:27,10,2019-10-12
318,13980,6.0,2537457,8029,140.0,0,1,0,2363.0,7,2019-10-23 05:22:24,5,2019-10-23
319,43922,28.0,928100,14548,236.0,0,0,0,175.0,10,2019-10-14 05:55:28,5,2019-10-14
321,65098,129.0,40610,10989,137.0,0,1,0,7222.0,13,2019-10-21 22:46:53,22,2019-10-21
322,13663,316.0,667587,159508,70.0,0,1,0,72420.0,10,2019-10-29 10:44:48,10,2019-10-29
324,39504,116.0,1210523,18550,6.0,0,1,0,30.0,10,2019-10-22 00:25:58,0,2019-10-22
326,45532,27.0,465711,230857,8.0,0,0,0,431.0,8,2019-10-12 19:09:42,19,2019-10-12
331,17601,66.0,57134,145359,159.0,0,0,0,3991.0,6,2019-10-20 19:28:36,19,2019-10-20
337,15630,24.0,296770,2368,34.0,0,0,0,5000.0,5,2019-10-27 00:22:05,0,2019-10-27
339,38770,164.0,1014992,295,33.0,0,0,0,380.0,11,2019-10-22 23:15:44,23,2019-10-22
342,8752,16.0,2992644,9497,42.0,0,0,0,1313.0,4,2019-09-30 03:48:13,3,2019-09-30
349,14036,109.0,638238,240521,89.0,0,1,0,805.0,19,2019-10-29 19:01:21,19,2019-10-29
355,5085,81.0,28240,4425,180.0,0,0,0,2785.0,10,2019-10-23 23:50:22,23,2019-10-23
356,2391,76.0,154247,7197,127.0,0,1,0,22.0,17,2019-10-24 23:08:12,23,2019-10-24
357,40363,99.0,232465,10365,69.0,0,1,0,6193.0,4,2019-10-20 23:39:03,23,2019-10-20
358,8693,6.0,254956,43434,41.0,0,1,0,646.0,10,2019-10-20 19:07:18,19,2019-10-20
367,8444,106.0,1090165,33990,252.0,3,1,0,1391.0,7,2019-10-10 05:01:35,5,2019-10-10
371,46910,21.0,90836,70652,146.0,0,1,0,14875.0,4,2019-10-09 03:38:28,3,2019-10-09
372,44660,109.0,4109,3221,4.0,0,0,0,294.0,21,2019-10-19 03:34:35,3,2019-10-19
376,7868,166.0,2759302,557521,160.0,0,0,0,220.0,9,2019-10-23 09:16:52,9,2019-10-23
378,5842,185.0,210111,8674,177.0,0,0,0,431.0,9,2019-10-10 09:30:54,9,2019-10-10
379,8999,43.0,1196,5184,243.0,0,0,0,726.0,10,2019-10-26 01:09:26,1,2019-10-26
383,46515,143.0,2289254,27515,76.0,0,1,0,296.0,21,2019-10-07 07:57:24,7,2019-10-07
384,32510,77.0,3533061,3113,24.0,0,0,0,4430.0,5,2019-10-25 04:58:39,4,2019-10-25
388,29473,73.0,236552,183308,139.0,0,0,0,1819.0,9,2019-10-16 15:22:07,15,2019-10-16
389,6322,99.0,217177,117230,79.0,0,0,0,58.0,4,2019-10-21 23:33:21,23,2019-10-21
390,45868,90.0,1209565,32496,215.0,0,1,0,780.0,10,2019-10-15 21:33:11,21,2019-10-15
395,56606,27.0,5307,87546,52.0,0,0,0,6086.0,10,2019-10-19 21:43:47,21,2019-10-19
396,22778,10.0,3615118,13784,271.0,0,0,0,643.0,9,2019-10-17 00:56:27,0,2019-10-17
397,10129,180.0,1384,13435,6.0,0,0,0,2411.0,9,2019-10-22 23:47:10,23,2019-10-22
400,16806,57.0,2005,4767,4.0,0,0,0,27971.0,9,2019-10-26 16:52:30,16,2019-10-26
403,2716,31.0,952904,21125,33.0,0,0,0,11311.0,7,2019-10-28 06:52:55,6,2019-10-28
405,13062,241.0,2943486,232984,218.0,0,1,0,5724.0,9,2019-09-28 02:56:26,2,2019-09-28
406,36852,140.0,3325,37569,29.0,0,0,0,12.0,20,2019-10-13 03:10:57,3,2019-10-13
412,5975,123.0,9221,3042,33.0,0,1,0,938.0,10,2019-10-27 03:29:22,3,2019-10-27
415,3925,152.0,33382,8805,267.0,0,1,0,240.0,9,2019-10-19 06:50:06,6,2019-10-19
419,60357,54.0,119228,31214,177.0,0,0,0,1101.0,10,2019-10-10 05:11:58,5,2019-10-10
423,14733,66.0,10827,7228,102.0,0,0,0,699.0,9,2019-10-25 17:25:16,17,2019-10-25
427,8735,144.0,2992255,236574,15.0,0,1,0,1161.0,9,2019-10-23 06:23:55,6,2019-10-23
430,2941,26.0,80178,175754,32.0,0,1,0,7108.0,9,2019-10-10 08:18:28,8,2019-10-10
434,16731,48.0,17428,1082,11.0,0,0,0,250.0,14,2019-10-27 02:57:07,2,2019-10-27
435,7639,89.0,5192,1276,143.0,0,1,0,1581.0,9,2019-10-11 02:15:36,2,2019-10-11
440,32039,2.0,1324665,48937,15.0,0,0,1,578.0,10,2019-10-07 21:03:31,21,2019-10-07
451,1233,167.0,922415,671096,146.0,0,0,0,220.0,7,2019-10-29 22:52:39,22,2019-10-29
454,49796,270.0,421537,108680,306.0,0,0,0,8741.0,10,2019-10-02 22:27:56,22,2019-10-02
456,5261,192.0,53103,6114,2.0,0,0,0,12195.0,10,2019-10-23 00:18:14,0,2019-10-23
463,17314,6.0,555918,53231,64.0,0,0,0,19499.0,9,2019-10-23 05:25:44,5,2019-10-23
464,11778,238.0,53107,23213,22.0,0,1,0,422.0,6,2019-10-10 17:43:59,17,2019-10-10
465,10661,45.0,503231,208135,158.0,0,1,0,2836.0,15,2019-10-12 02:19:05,2,2019-10-12
466,43945,99.0,193343,256291,22.0,0,0,0,501.0,10,2019-10-16 02:33:12,2,2019-10-16
467,593,270.0,1100,22496,6.0,0,1,0,3949.0,8,2019-10-13 19:10:42,19,2019-10-13
471,57444,82.0,1409986,288368,302.0,0,1,0,4871.0,9,2019-09-27 01:15:55,1,2019-09-27
472,6301,155.0,273043,1335,133.0,0,0,0,22.0,10,2019-10-23 01:28:34,1,2019-10-23
474,30721,136.0,3905059,715639,54.0,0,0,0,882.0,10,2019-10-25 20:27:46,20,2019-10-25
475,20539,116.0,701684,8760,147.0,0,0,0,542.0,10,2019-10-22 04:19:43,4,2019-10-22
477,31514,152.0,133334,4449,69.0,0,0,1,31962.0,10,2019-10-25 19:46:51,19,2019-10-25
482,9253,24.0,1957380,316636,52.0,0,0,0,703.0,10,2019-10-07 11:37:19,11,2019-10-07
483,31042,31.0,83674,27826,85.0,0,0,0,9317.0,8,2019-10-08 08:07:23,8,2019-10-08
485,14270,333.0,1691145,17581,17.0,0,1,0,39591.0,11,2019-10-29 04:00:28,4,2019-10-29
486,2654,109.0,680019,9537,22.0,0,1,0,6230.0,9,2019-10-04 22:47:32,22,2019-10-04
491,18907,138.0,126329,98236,203.0,0,0,0,1372.0,10,2019-10-05 03:49:17,3,2019-10-05
493,1044,83.0,707464,345832,39.0,0,0,0,68.0,7,2019-10-29 19:45:18,19,2019-10-29
496,8894,143.0,654164,29188,1.0,0,0,0,7.0,9,2019-10-29 02:46:04,2,2019-10-29
497,12229,251.0,635213,338092,128.0,0,1,0,22.0,18,2019-10-28 20:54:44,20,2019-10-28
498,2268,6.0,22092,787,1.0,0,0,0,60.0,10,2019-10-21 19:22:37,19,2019-10-21
506,339,297.0,315836,236224,170.0,0,1,0,1329.0,9,2019-10-08 15:16:01,15,2019-10-08
513,31690,150.0,1913030,785770,189.0,0,0,0,220.0,5,2019-10-28 09:55:13,9,2019-10-28
514,9491,40.0,60456,4431,108.0,0,1,0,2029.0,10,2019-10-26 18:21:19,18,2019-10-26
523,2070,158.0,2132889,177220,24.0,0,1,0,2335.0,15,2019-10-22 18:50:42,18,2019-10-22
528,38830,41.0,59476,49677,4.0,0,0,0,495.0,10,2019-10-26 17:42:05,17,2019-10-26
530,30600,6.0,1773687,769739,33.0,0,0,0,22.0,9,2019-10-28 21:15:26,21,2019-10-28
533,33039,83.0,137350,58840,49.0,0,0,0,1177.0,9,2019-10-25 05:25:15,5,2019-10-25
534,3286,18.0,478824,43916,144.0,0,0,0,115.0,7,2019-10-16 19:47:28,19,2019-10-16
535,2396,11.0,635977,44437,22.0,0,0,0,122.0,5,2019-10-28 19:55:55,19,2019-10-28
540,9033,275.0,4213,5290,24.0,0,0,0,322.0,10,2019-10-25 21:45:15,21,2019-10-25
542,47770,65.0,8149,428,1.0,0,1,0,22.0,7,2019-10-26 01:56:39,1,2019-10-26
544,53535,105.0,11600,9861,257.0,0,0,0,186.0,5,2019-10-24 22:06:21,22,2019-10-24
547,34578,143.0,3520560,12890,54.0,0,0,0,272.0,3,2019-09-28 22:33:58,22,2019-09-28
551,55255,163.0,2779893,12940,149.0,0,0,0,1717.0,9,2019-10-11 05:16:30,5,2019-10-11
553,5582,99.0,191664,2047,34.0,0,1,0,5661.0,9,2019-10-08 11:46:23,11,2019-10-08
557,187,242.0,48185,22648,204.0,0,0,0,3994.0,7,2019-10-08 02:55:43,2,2019-10-08
559,12019,51.0,37510,2674,24.0,0,0,0,7.0,10,2019-10-19 19:45:23,19,2019-10-19
563,18603,171.0,1021976,682077,84.0,0,0,0,307.0,6,2019-10-30 08:08:31,8,2019-10-30
565,34200,315.0,1907,10056,29.0,0,0,0,3472.0,11,2019-10-16 23:23:33,23,2019-10-16
566,1325,102.0,524563,80356,0.0,0,0,0,2651.0,10,2019-09-30 06:15:08,6,2019-09-30
573,2050,150.0,678784,4268,83.0,0,0,0,4377.0,9,2019-10-29 19:41:52,19,2019-10-29
576,2993,139.0,366471,66504,121.0,0,1,0,284.0,10,2019-10-13 11:57:49,11,2019-10-13
583,31358,301.0,23323,39602,197.0,0,1,0,637.0,7,2019-10-26 21:49:58,21,2019-10-26
594,12945,91.0,1697410,552201,20.0,0,1,0,655.0,10,2019-10-28 20:24:30,20,2019-10-28
599,32127,1.0,844414,286745,0.0,0,0,0,43.0,12,2019-10-11 17:55:37,17,2019-10-11
603,8978,299.0,81958,22233,20.0,0,1,0,1063.0,10,2019-10-16 02:46:08,2,2019-10-16
605,26713,144.0,3108145,295174,186.0,0,0,0,30.0,6,2019-10-24 10:05:41,10,2019-10-24
606,11616,271.0,647060,13188,42.0,0,0,0,5236.0,11,2019-10-23 20:12:22,20,2019-10-23
609,40335,14.0,1652186,48261,55.0,0,1,0,220.0,10,2019-10-27 09:10:29,9,2019-10-27
610,30762,95.0,133010,1344,79.0,0,0,0,1062.0,25,2019-10-04 04:54:13,4,2019-10-04
613,7371,114.0,1070982,7943,205.0,0,1,0,22.0,42,2019-10-24 06:15:55,6,2019-10-24
622,17820,28.0,6343,42731,11.0,0,1,0,574.0,10,2019-10-27 01:40:13,1,2019-10-27
624,2829,25.0,323978,11462,22.0,0,0,0,992.0,29,2019-10-21 18:19:21,18,2019-10-21
635,35076,158.0,759094,28171,7.0,0,1,0,19536.0,11,2019-10-21 15:33:06,15,2019-10-21
636,33888,46.0,2557953,160557,36.0,0,1,0,25.0,10,2019-10-23 03:36:20,3,2019-10-23
640,34169,21.0,2587746,242477,28.0,0,1,0,1698.0,7,2019-10-22 18:28:54,18,2019-10-22
642,3584,51.0,253634,11937,52.0,0,0,0,541.0,9,2019-10-22 06:14:34,6,2019-10-22
645,57756,235.0,1705241,17123,146.0,0,0,0,2987.0,19,2019-09-30 19:41:29,19,2019-09-30
646,31325,69.0,1265109,32139,25.0,0,0,0,5091.0,9,2019-09-25 20:53:51,20,2019-09-25
652,65508,334.0,15129,20062,101.0,0,0,0,108.0,10,2019-10-24 00:01:53,0,2019-10-24
656,20064,8.0,637476,336974,185.0,0,1,0,71972.0,9,2019-10-29 21:17:01,21,2019-10-29
657,10153,89.0,86171,185399,185.0,0,0,0,13583.0,11,2019-10-26 21:31:03,21,2019-10-26
660,31817,106.0,1161861,14773,33.0,0,0,0,1242.0,20,2019-10-12 19:00:26,19,2019-10-12
661,29575,73.0,125468,39669,35.0,0,1,0,11409.0,14,2019-10-11 05:27:29,5,2019-10-11
662,13400,188.0,1747313,35720,122.0,0,1,0,479.0,10,2019-09-30 04:15:35,4,2019-09-30
664,2418,182.0,3861563,482020,179.0,0,1,0,22.0,10,2019-10-25 20:04:49,20,2019-10-25
672,18031,32.0,297953,276794,72.0,0,0,0,67.0,10,2019-10-06 00:21:51,0,2019-10-06
678,1229,342.0,3854043,705337,324.0,0,1,0,33.0,10,2019-10-23 09:52:38,9,2019-10-23
681,57776,14.0,1356993,131480,123.0,0,0,0,5797.0,21,2019-10-12 06:42:59,6,2019-10-12
682,30994,121.0,1882928,51095,147.0,0,0,0,5790.0,9,2019-10-27 07:59:37,7,2019-10-27
683,30830,340.0,2919874,87446,41.0,0,0,0,110.0,10,2019-10-24 01:07:41,1,2019-10-24
688,22281,305.0,350469,113055,26.0,0,1,0,5069.0,21,2019-10-23 19:34:41,19,2019-10-23
689,33616,158.0,423184,41126,140.0,0,1,0,861.0,10,2019-10-25 02:52:16,2,2019-10-25
694,32902,273.0,53921,128568,135.0,0,0,0,249.0,9,2019-10-26 02:18:27,2,2019-10-26
695,5831,73.0,149599,8900,78.0,0,0,0,25.0,30,2019-10-17 11:08:29,11,2019-10-17
704,662,16.0,41410,15905,33.0,0,1,0,257.0,7,2019-09-29 04:07:10,4,2019-09-29
706,6865,33.0,1760937,1471,202.0,0,0,0,34915.0,9,2019-10-27 03:17:27,3,2019-10-27
709,46717,110.0,17644,94313,114.0,0,0,0,4211.0,10,2019-10-24 05:34:14,5,2019-10-24
712,6128,143.0,3819,15310,42.0,0,1,0,2617.0,5,2019-09-30 00:45:17,0,2019-09-30
713,59132,21.0,1295901,228787,82.0,0,1,0,33.0,9,2019-09-30 12:21:50,12,2019-09-30
714,716,178.0,1267237,3747,22.0,0,0,0,2317.0,9,2019-10-21 09:11:31,9,2019-10-21
716,1938,9.0,3975472,87409,254.0,3,0,0,312.0,10,2019-10-20 09:13:43,9,2019-10-20
725,8116,155.0,650533,372383,192.0,0,1,0,238.0,4,2019-10-30 01:41:38,1,2019-10-30
726,26091,66.0,1661268,756557,133.0,0,0,0,75.0,9,2019-10-29 08:22:17,8,2019-10-29
732,26365,135.0,1782129,10905,211.0,0,0,0,1235.0,10,2019-10-28 02:42:52,2,2019-10-28
741,32328,47.0,2557287,221935,27.0,0,1,0,15006.0,10,2019-10-23 07:41:06,7,2019-10-23
743,275,45.0,2928654,223558,65.0,0,0,0,6229.0,11,2019-10-23 12:18:33,12,2019-10-23
744,5251,30.0,1401838,79549,39.0,0,1,0,57.0,10,2019-10-19 05:36:53,5,2019-10-19
745,11868,198.0,371771,25666,260.0,0,1,0,2011.0,10,2019-10-08 12:28:57,12,2019-10-08
750,11749,101.0,1331392,220865,26.0,0,0,0,33049.0,9,2019-10-21 12:20:36,12,2019-10-21
751,46480,99.0,410386,25804,89.0,0,0,0,288.0,10,2019-10-14 07:40:48,7,2019-10-14
753,58032,26.0,2913835,72960,101.0,0,0,0,1870.0,6,2019-10-23 10:26:45,10,2019-10-23
762,18159,176.0,535896,1287,160.0,0,0,0,296.0,9,2019-09-27 20:38:49,20,2019-09-27
764,31615,69.0,60176,35830,140.0,0,0,0,590.0,4,2019-10-26 01:38:00,1,2019-10-26
767,44828,54.0,167752,114654,2.0,0,1,0,7841.0,7,2019-10-18 19:57:00,19,2019-10-18
768,47251,105.0,69674,36799,255.0,0,1,0,1047.0,21,2019-10-10 01:17:46,1,2019-10-10
770,10233,91.0,3215300,235883,54.0,0,0,0,19549.0,7,2019-10-01 02:50:02,2,2019-10-01
772,46179,102.0,411553,2725,64.0,0,1,0,33.0,3,2019-10-06 09:03:10,9,2019-10-06
776,6905,144.0,2543899,46165,41.0,0,1,0,5171.0,9,2019-10-23 03:02:41,3,2019-10-23
777,17817,99.0,2548720,55636,48.0,0,1,0,3577.0,9,2019-10-13 04:53:57,4,2019-10-13
779,4139,309.0,216430,98577,25.0,0,0,0,1202.0,10,2019-10-11 18:46:18,18,2019-10-11
780,11838,140.0,5414,4922,15.0,0,1,0,110.0,39,2019-10-25 05:21:41,5,2019-10-25
785,33364,24.0,1751787,31296,122.0,0,0,0,1242.0,9,2019-10-28 05:12:42,5,2019-10-28
786,50911,122.0,1176135,125751,7.0,0,0,0,3500.0,6,2019-10-19 09:19:53,9,2019-10-19
787,43743,91.0,135577,25275,104.0,0,1,0,10078.0,9,2019-10-14 08:27:16,8,2019-10-14
792,7850,85.0,749363,6839,84.0,0,0,0,431.0,10,2019-10-23 19:08:59,19,2019-10-23
793,3569,117.0,949714,24815,68.0,0,1,0,4154.0,10,2019-10-29 23:47:36,23,2019-10-29
798,3022,134.0,365582,33182,148.0,0,0,0,416.0,10,2019-10-22 02:39:07,2,2019-10-22
801,39831,337.0,31635,3285,68.0,0,0,0,63.0,7,2019-10-24 07:15:26,7,2019-10-24
803,13122,13.0,278388,99157,46.0,0,0,0,1856.0,10,2019-10-21 20:15:06,20,2019-10-21
806,11080,109.0,464777,9596,22.0,0,1,0,36.0,21,2019-10-22 03:33:52,3,2019-10-22
816,858,203.0,3101816,40225,219.0,0,0,0,110.0,9,2019-10-22 20:02:02,20,2019-10-22
825,22209,246.0,13961,23092,225.0,0,0,0,1078.0,10,2019-10-25 02:38:41,2,2019-10-25
829,32559,57.0,47317,3527,113.0,0,1,0,714.0,4,2019-10-19 01:02:16,1,2019-10-19
831,12150,50.0,1751017,28597,17.0,0,0,0,1996.0,42,2019-10-26 23:18:55,23,2019-10-26
833,44081,45.0,13924,15817,12.0,0,1,0,2794.0,9,2019-10-22 02:17:18,2,2019-10-22
834,6411,217.0,687748,9410,112.0,0,0,0,422.0,9,2019-10-27 19:51:24,19,2019-10-27
839,45536,254.0,545525,1607,69.0,0,1,0,2669.0,10,2019-10-21 03:11:54,3,2019-10-21
844,42807,140.0,60256,2465,135.0,0,1,0,208.0,9,2019-10-22 03:04:53,3,2019-10-22
850,9674,277.0,1219031,457934,165.0,0,1,0,1199.0,10,2019-09-24 07:38:00,7,2019-09-24
851,58503,66.0,36565,24917,25.0,0,1,0,2306.0,10,2019-10-14 08:25:47,8,2019-10-14
